Nodes,BF,DJK,SCBF
20,0.949011087,0.929367065,0.931210041
40,0.354044199,0.923125029,0.938154936
60,0.353164673,0.928817987,0.927191019
80,0.209921122,0.947594881,0.95852375
100,0.237644196,0.946664095,0.929919958
120,0.343128681,0.940856218,0.972909927
140,0.364885092,0.93267107,0.954434156
160,0.450840712,0.936300993,0.324324131
180,0.557210922,0.330653191,0.328084946
200,0.70332408,0.430088997,0.335536718
220,0.907423973,0.33337903,0.330600977
240,1.101285696,0.334327698,0.356377125
260,1.355099916,0.329109907,0.330740929
280,1.647876978,0.334194183,0.333683968
300,2.002489805,0.33671999,0.352584362
320,2.406873941,0.337289095,0.34959507
340,2.894102097,0.349891901,0.360934258
360,3.395008087,0.344307899,0.360090971
380,3.965368748,0.346187115,0.360254049
400,4.578573227,0.350358963,0.362024307
420,5.304569721,0.363583803,0.3586061
440,6.172851801,0.34997201,0.363157988
460,6.939220905,0.35529089,0.392668962
480,7.860193968,0.3569839,0.195078135
500,8.911182165,0.358083248,0.202885866
520,10.04759312,0.211510897,0.211179018
540,11.18021917,0.19807601,0.297023058
560,12.65549302,0.193482876,0.272166252
580,13.91503572,0.195670843,0.273175955
600,15.32783604,0.19735074,0.343833923
620,16.92904496,0.202795982,0.281953096
640,18.63293576,0.199757099,0.309869766
660,20.45646,0.202805042,0.289124966
680,22.32476282,0.202913761,0.310600758
700,24.36175489,0.208579063,0.301350832
720,26.52028108,0.209378958,0.323863983
740,28.70743704,0.210445881,0.302426815
760,31.23838782,0.213838816,0.33219409
780,33.66347003,0.214976072,0.346578121
800,36.35974622,0.22502923,0.346506119
820,39.04977202,0.22656703,0.344188929
840,42.27690291,0.23319912,0.353505135
860,45.51391983,0.227661848,0.315794945
880,48.88836098,0.229133844,0.348860741
900,52.4065032,0.233340263,0.413943052
920,55.75755095,0.331624985,0.351118803
940,59.6811831,0.252212286,0.336831093
960,63.08782411,0.245918751,0.414629698
980,67.65266275,0.245786905,0.381588936
1000,72.86632395,0.24829793,0.370088816
1020,75.71441579,0.320575237,0.390763044
1040,81.02694821,0.262461901,0.431043148
1060,85.60304785,0.266222954,0.417257071
1080,91.87031698,0.268997908,0.489005804
1100,94.60518694,0.278993845,0.40288496
1120,101.5111592,0.270237923,0.436316013
1040,81.02694821,0.431043148,0.262461901
1060,85.60304785,0.417257071,0.266222954
1080,91.87031698,0.489005804,0.268997908
1100,94.60518694,0.40288496,0.278993845
1120,101.5111592,0.436316013,0.270237923
1140,106.1437151,0.415219069,0.286272049
1160,111.8450768,0.399414063,0.277772665
1180,117.5668702,0.470520735,0.29569912
